,sn,sn_name,sn_type,targets
184,C0009079,clozapine,ORCH,"{'C0002395': 0.03551276592735163, 'C0020676': 0.03350215512411553, 'C0025519': 0.03853980499311691}"
185,C0018799,Heart Diseases,DSYN,"{'C0002395': 0.03550415759855322, 'C0020676': 0.033317794346540704, 'C0025519': 0.03834982535593085}"
186,C0006949,carbamazepine,ORCH,"{'C0002395': 0.03546679827089553, 'C0020676': 0.033255614382704156, 'C0025519': 0.037991121739810806}"
187,C0032914,Pre-Eclampsia,DSYN,"{'C0002395': 0.03540578538862728, 'C0020676': 0.03311416083281834, 'C0025519': 0.03797580348648075}"
188,C0026454,Monoamine Oxidase,AAPP,"{'C0002395': 0.03525719088932789, 'C0020676': 0.03310179890430985, 'C0025519': 0.037961132894872344}"
189,C0034917,Reduced Glutathione,AAPP,"{'C0002395': 0.035243163931458786, 'C0020676': 0.03305261113742113, 'C0025519': 0.037664510893366455}"
190,C0029408,Degenerative polyarthritis,DSYN,"{'C0002395': 0.03521925724173373, 'C0020676': 0.03300118777610361, 'C0025519': 0.03708130235714852}"
191,C0040005,threonine,AAPP,"{'C0002395': 0.03509091144985195, 'C0020676': 0.0329016630067929, 'C0025519': 0.03660496824998108}"
192,C0017628,glyburide,ORCH,"{'C0002395': 0.03508522071882234, 'C0020676': 0.03282323166130013, 'C0025519': 0.03655784518904385}"
193,C0031640,phosphoric diester hydrolase,AAPP,"{'C0002395': 0.03496327718242184, 'C0020676': 0.03270770255532901, 'C0025519': 0.03651068293528697}"
194,C0004364,Autoimmune Diseases,DSYN,"{'C0002395': 0.034920671390565726, 'C0020676': 0.0324500505788294, 'C0025519': 0.036509225806371635}"
195,C0007258,carnitine,AAPP,"{'C0002395': 0.034862216723047776, 'C0020676': 0.032234762098007394, 'C0025519': 0.036464436051322796}"
196,C0034818|3643,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.03465572878246942, 'C0020676': 0.03205327150599451, 'C0025519': 0.03641848086863812}"
197,C0162429,Malnutrition,DSYN,"{'C0002395': 0.034537673572485814, 'C0020676': 0.03199262141304368, 'C0025519': 0.03596329965072155}"
198,C1290884,Inflammatory disorder,DSYN,"{'C0002395': 0.03452252980306074, 'C0020676': 0.03193866377676242, 'C0025519': 0.03570912289079292}"
199,C0733758,follicle stimulating hormone,AAPP,"{'C0002395': 0.034399445806736456, 'C0020676': 0.03156332374228465, 'C0025519': 0.03545039992101152}"
200,C0751973,Proteome,AAPP,"{'C0002395': 0.03437765313758579, 'C0020676': 0.031556502206616724, 'C0025519': 0.0350798905294522}"
201,C0312359,phenylpyruvate tautomerase,AAPP,"{'C0002395': 0.0343730891119872, 'C0020676': 0.031159706923473227, 'C0025519': 0.03500317642855904}"
202,C0031469,phenylephrine,ORCH,"{'C0002395': 0.03430177440989681, 'C0020676': 0.030929588055773668, 'C0025519': 0.0349922465384941}"
203,C0040160,thyrotropin,AAPP,"{'C0002395': 0.0341024938865818, 'C0020676': 0.03086255734601242, 'C0025519': 0.03488767043391801}"
204,C0009014,clonidine,ORCH,"{'C0002395': 0.033988299679927926, 'C0020676': 0.030573611662565465, 'C0025519': 0.03460428861805215}"
205,C0067385,"N,N-dimethylarginine",AAPP,"{'C0002395': 0.033977312581544114, 'C0020676': 0.030402680944304854, 'C0025519': 0.03456045517383886}"
206,C0003864,Arthritis,DSYN,"{'C0002395': 0.033660061057260014, 'C0020676': 0.0303062210579951, 'C0025519': 0.03402675845777266}"
207,C0006945,carbachol,ORCH,"{'C0002395': 0.033659480088602325, 'C0020676': 0.030160511337677037, 'C0025519': 0.03367868619882936}"
208,C0023816|4023,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.03350374267421427, 'C0020676': 0.030147659035315306, 'C0025519': 0.033645891061664095}"
209,C0031507,phenytoin,ORCH,"{'C0002395': 0.0332925188405448, 'C0020676': 0.029949994525595495, 'C0025519': 0.033638139156340924}"
210,C0001473,Adenosine Triphosphatases,AAPP,"{'C0002395': 0.03326339627624741, 'C0020676': 0.029864792930130144, 'C0025519': 0.03361479013570564}"
211,C0020473,Hyperlipidemia,DSYN,"{'C0002395': 0.03290153857250944, 'C0020676': 0.029648099927244136, 'C0025519': 0.03354616637472484}"
212,C0036825,Serum Proteins,AAPP,"{'C0002395': 0.03280324064864786, 'C0020676': 0.029588114876955347, 'C0025519': 0.03324142140108026}"
213,C0061516,glutathione disulfide,AAPP,"{'C0002395': 0.03279933174121616, 'C0020676': 0.029297692842516047, 'C0025519': 0.03313702228574709}"
214,C0025517,Metabolic Diseases,DSYN,"{'C0002395': 0.032780345704918494, 'C0020676': 0.029072390361964174, 'C0025519': 0.03298762931474512}"
215,C0002871,Anemia,DSYN,"{'C0002395': 0.03247921071236037, 'C0020676': 0.02903956363072544, 'C0025519': 0.03288929961707136}"
216,C0031412,phenobarbital,ORCH,"{'C0002395': 0.03246835255348717, 'C0020676': 0.02898363956669128, 'C0025519': 0.032845720940418606}"
217,C0126174,losartan,ORCH,"{'C0002395': 0.0323553351790851, 'C0020676': 0.0289791138524387, 'C0025519': 0.03257989349501401}"
218,C0024141,"Lupus Erythematosus, Systemic",DSYN,"{'C0002395': 0.032333533426963566, 'C0020676': 0.028925864585248002, 'C0025519': 0.03257925901374602}"
219,C0021756|3558,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.032289423069874944, 'C0020676': 0.028528331266227298, 'C0025519': 0.03242400350711727}"
220,C0086543,Cataract,DSYN,"{'C0002395': 0.03178801062948935, 'C0020676': 0.028512058717714568, 'C0025519': 0.03240403330027306}"
221,C0242383,Age related macular degeneration,DSYN,"{'C0002395': 0.03170165881114962, 'C0020676': 0.028442909147361823, 'C0025519': 0.03238072606235907}"
222,C0012373,diltiazem,ORCH,"{'C0002395': 0.03169875000491357, 'C0020676': 0.0283194346375565, 'C0025519': 0.03232960874061351}"
223,C0056077,NAME_NOT_FOUND,ORCH,"{'C0002395': 0.0316946435014577, 'C0020676': 0.028296191659170297, 'C0025519': 0.032291906784625804}"
224,C0031099,Periodontitis,DSYN,"{'C0002395': 0.031444542782070185, 'C0020676': 0.028258644881140146, 'C0025519': 0.03197332713544791}"
225,C0020443,Hypercholesterolemia,DSYN,"{'C0002395': 0.03141173586133011, 'C0020676': 0.028235045348385935, 'C0025519': 0.031904343819273706}"
226,C1335439|100616102|100862685|100862688,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.031225206159584268, 'C0020676': 0.028206450189424803, 'C0025519': 0.03182754916729232}"
227,C0149931,Migraine Disorders,DSYN,"{'C0002395': 0.030960819844911038, 'C0020676': 0.027943709444863477, 'C0025519': 0.03164475449342577}"
228,C0917798,Cerebral Ischemia,DSYN,"{'C0002395': 0.030916079701165007, 'C0020676': 0.02780645868523881, 'C0025519': 0.03149312957351627}"
229,C0010287,Creatine Kinase,AAPP,"{'C0002395': 0.030904713316371298, 'C0020676': 0.027682659791720857, 'C0025519': 0.03126530788062754}"
230,C0520679,"Sleep Apnea, Obstructive",DSYN,"{'C0002395': 0.03088831913545855, 'C0020676': 0.027614676985289355, 'C0025519': 0.031092234702470026}"
231,C0033860,Psoriasis,DSYN,"{'C0002395': 0.030809064417495268, 'C0020676': 0.027568472936120816, 'C0025519': 0.030875705658920335}"
232,C0242339,Dyslipidemias,DSYN,"{'C0002395': 0.030574189972634575, 'C0020676': 0.02741861212808482, 'C0025519': 0.030694830241662342}"
233,C0020615,Hypoglycemia,DSYN,"{'C0002395': 0.030513971029303706, 'C0020676': 0.0273501753039937, 'C0025519': 0.03038338226548544}"
234,C0015695,Fatty Liver,DSYN,"{'C0002395': 0.030294756517428016, 'C0020676': 0.027340096316752303, 'C0025519': 0.030274589051439305}"
235,C0030305,Pancreatitis,DSYN,"{'C0002395': 0.030263479879433935, 'C0020676': 0.027314697664921075, 'C0025519': 0.030205803332469475}"
236,C0007292,Carrier Proteins,AAPP,"{'C0002395': 0.03022764168073045, 'C0020676': 0.027080298201761742, 'C0025519': 0.030016526174374364}"
237,C0024027,lovastatin,ORCH,"{'C0002395': 0.030164045414039112, 'C0020676': 0.026956643015763435, 'C0025519': 0.030011587629306738}"
238,C0042971,von Willebrand factor,AAPP,"{'C0002395': 0.030131112050918788, 'C0020676': 0.026943766444002027, 'C0025519': 0.029764551283886078}"
239,C0003591,Apolipoproteins,AAPP,"{'C0002395': 0.030000491855152054, 'C0020676': 0.0268951935563888, 'C0025519': 0.0295925550775204}"
240,C0026045,Microtubule-Associated Proteins,AAPP,"{'C0002395': 0.029921660577908817, 'C0020676': 0.02682285637159624, 'C0025519': 0.029491063463351307}"
241,C0029282,Ornithine Decarboxylase,AAPP,"{'C0002395': 0.029700634094543026, 'C0020676': 0.026595225456231986, 'C0025519': 0.02943327130543055}"
242,C0155626,Acute myocardial infarction,DSYN,"{'C0002395': 0.02946760220968224, 'C0020676': 0.026474352928513512, 'C0025519': 0.029386302449630253}"
243,C0442874,Neuropathy,DSYN,"{'C0002395': 0.02908093469535799, 'C0020676': 0.02637330102526175, 'C0025519': 0.02933248184168813}"
244,C0963992|56729,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.02877590781160129, 'C0020676': 0.026367618942039848, 'C0025519': 0.02923474480821493}"
245,C0850624,Heart Disease Risk Factors,DSYN,"{'C0002395': 0.028604216803229762, 'C0020676': 0.026309697358459245, 'C0025519': 0.02912744526011364}"
246,C0017601,Glaucoma,DSYN,"{'C0002395': 0.028383523919699536, 'C0020676': 0.02627117981909734, 'C0025519': 0.028970024185710295}"
247,C0123707,Insulin-Like Growth Factor Binding Protein 3,AAPP,"{'C0002395': 0.028334018850614866, 'C0020676': 0.02622047512465341, 'C0025519': 0.02831140205454913}"
248,C0220918,succinate,ORCH,"{'C0002395': 0.028228250879285464, 'C0020676': 0.02594888505269413, 'C0025519': 0.02821782585232246}"
249,C0599682,monoamine,ORCH,"{'C0002395': 0.028008867517919003, 'C0020676': 0.025638147511639578, 'C0025519': 0.028208240124122326}"
250,C0034785,beta-adrenergic receptor,AAPP,"{'C0002395': 0.027843065161181388, 'C0020676': 0.02560519982173879, 'C0025519': 0.028119602631250067}"
251,C0034821,Low Density Lipoprotein Receptor,AAPP,"{'C0002395': 0.02778372182514227, 'C0020676': 0.025558425237593108, 'C0025519': 0.02796124452268549}"
252,C0006230,bromocriptine,ORCH,"{'C0002395': 0.027663675227206506, 'C0020676': 0.025503694976893653, 'C0025519': 0.027924771770435355}"
253,C0038766,Sulfonylurea Compounds,ORCH,"{'C0002395': 0.027494261976695376, 'C0020676': 0.02522502627316366, 'C0025519': 0.027889365495809216}"
254,C0001473|1769,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.02708867718226925, 'C0020676': 0.02511363030482091, 'C0025519': 0.027731547749491686}"
255,C0017742,Glucose Transporter,AAPP,"{'C0002395': 0.027044015070334347, 'C0020676': 0.024989645104287153, 'C0025519': 0.027679596251478738}"
256,C1510464,Protein Structure,AAPP,"{'C0002395': 0.026865418299982072, 'C0020676': 0.024951624269076704, 'C0025519': 0.027603464590621435}"
257,C0073393,risperidone,ORCH,"{'C0002395': 0.026802888914284267, 'C0020676': 0.024938020998719976, 'C0025519': 0.027599420518411206}"
258,C0028589,Nuclear Proteins,AAPP,"{'C0002395': 0.026520765776025815, 'C0020676': 0.024843546565912148, 'C0025519': 0.027300023220230514}"
259,C0013080,Down Syndrome,DSYN,"{'C0002395': 0.0262518124201456, 'C0020676': 0.02465431189672939, 'C0025519': 0.027046864175774617}"
260,C0023882,Little's Disease,DSYN,"{'C0002395': 0.02621332810688127, 'C0020676': 0.024619025686050327, 'C0025519': 0.026798534879036114}"
261,C0597298,Protein Isoforms,AAPP,"{'C0002395': 0.02601835670325936, 'C0020676': 0.024571887800841765, 'C0025519': 0.026761867794289587}"
262,C0041014,liothyronine,AAPP,"{'C0002395': 0.025936182387473736, 'C0020676': 0.024462808403680935, 'C0025519': 0.026339317680704247}"
263,C0027930|4922,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.025238407008238095, 'C0020676': 0.024400954466664036, 'C0025519': 0.02614727082548269}"
264,C0018802,Congestive heart failure,DSYN,"{'C0002395': 0.02511893331942325, 'C0020676': 0.024361691849190483, 'C0025519': 0.025688436175587873}"
265,C0025831,Methyltransferase,AAPP,"{'C0002395': 0.025055876016418066, 'C0020676': 0.024309330698846547, 'C0025519': 0.025646160453294042}"
266,C0052451,Arylesterase,AAPP,"{'C0002395': 0.024739448120010714, 'C0020676': 0.02407026036182232, 'C0025519': 0.025526949004079078}"
267,C0036883,Sex Hormone-Binding Globulin,AAPP,"{'C0002395': 0.024709240927193853, 'C0020676': 0.0240187828029094, 'C0025519': 0.02534571351538267}"
268,C0019247,Hereditary Diseases,DSYN,"{'C0002395': 0.024603938917130305, 'C0020676': 0.023656593705741715, 'C0025519': 0.025264959631851516}"
269,C0031634,Phosphocreatine,AAPP,"{'C0002395': 0.024584189124712327, 'C0020676': 0.023572687042736757, 'C0025519': 0.02514650945689504}"
270,C0019630,Histocompatibility Antigens Class II,AAPP,"{'C0002395': 0.024535171905171828, 'C0020676': 0.023553372694239665, 'C0025519': 0.024653001504925377}"
271,C0002600,amitriptyline,ORCH,"{'C0002395': 0.024318808519074683, 'C0020676': 0.02311624695686698, 'C0025519': 0.024386078613005565}"
272,C0008845,citalopram,ORCH,"{'C0002395': 0.024151399156068988, 'C0020676': 0.022851485104279475, 'C0025519': 0.024324825606894845}"
273,C0007028,CARBONATE DEHYDRATASE,AAPP,"{'C0002395': 0.024034606544749305, 'C0020676': 0.022796593852917046, 'C0025519': 0.02431742246913904}"
274,C0040162|7200,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.023956121979240366, 'C0020676': 0.022774594422843603, 'C0025519': 0.02420062787798631}"
275,C0012197,Diethylhexyl Phthalate,ORCH,"{'C0002395': 0.023952656558796498, 'C0020676': 0.022768499248557172, 'C0025519': 0.024149946158692294}"
276,C0598608,Hyperhomocysteinemia,DSYN,"{'C0002395': 0.023896350885070104, 'C0020676': 0.022425694878729956, 'C0025519': 0.024077126937653227}"
277,C0021359,Infertility,DSYN,"{'C0002395': 0.02375058575095525, 'C0020676': 0.021926597694701462, 'C0025519': 0.023999416948997356}"
278,C0291573|836,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.02334933710044161, 'C0020676': 0.021796292251627138, 'C0025519': 0.02395014954126278}"
279,C0060926,gabapentin,ORCH,"{'C0002395': 0.023320431682357666, 'C0020676': 0.021625605414241616, 'C0025519': 0.023828973215108188}"
280,C0070122,paroxetine,ORCH,"{'C0002395': 0.023167030145825027, 'C0020676': 0.02154162618294719, 'C0025519': 0.02377421597043499}"
281,C0037668,Somatotropin-Releasing Hormone,AAPP,"{'C0002395': 0.022991579161047764, 'C0020676': 0.02131610127358012, 'C0025519': 0.023737572734311964}"
282,C0724441,yohimbine,ORCH,"{'C0002395': 0.022963097730149783, 'C0020676': 0.02110827701401516, 'C0025519': 0.02324780756703035}"
283,C0007570,Celiac Disease,DSYN,"{'C0002395': 0.02289566605308051, 'C0020676': 0.021022588485385997, 'C0025519': 0.022965658628339467}"
284,C0151747,Renal tubular disorder,DSYN,"{'C0002395': 0.022756482791447704, 'C0020676': 0.02089600504307554, 'C0025519': 0.02269422046743204}"
285,C0055538,Cholesterol Ester Transfer Proteins,AAPP,"{'C0002395': 0.022738410076262018, 'C0020676': 0.020739173847536273, 'C0025519': 0.022675179386975018}"
286,C0017732,NAME_NOT_FOUND,DSYN,"{'C0002395': 0.02264136499195482, 'C0020676': 0.020664877493638923, 'C0025519': 0.022299854485899214}"
287,C0026455,Monoamine Oxidase A,AAPP,"{'C0002395': 0.022349331433920636, 'C0020676': 0.020379789073435916, 'C0025519': 0.021870310482519736}"
288,C0003850,Arteriosclerosis,DSYN,"{'C0002395': 0.022317467926654264, 'C0020676': 0.020218393560669432, 'C0025519': 0.02181872972950162}"
289,C0746556,metabolic disturbance,DSYN,"{'C0002395': 0.022119894492461267, 'C0020676': 0.020188477810609055, 'C0025519': 0.021753293827624615}"
290,C0851578,Sleep Disorders,DSYN,"{'C0002395': 0.021992025420148834, 'C0020676': 0.02013260959072061, 'C0025519': 0.021745133988592357}"
291,C0026848,Myopathy,DSYN,"{'C0002395': 0.02198185835236518, 'C0020676': 0.020031838176084123, 'C0025519': 0.021678116933390234}"
292,C0220821,dihydropyridine,ORCH,"{'C0002395': 0.021831457163571117, 'C0020676': 0.01975979047317004, 'C0025519': 0.021629502166286733}"
293,C0085096,Peripheral Vascular Diseases,DSYN,"{'C0002395': 0.021695234924891525, 'C0020676': 0.019745749738056022, 'C0025519': 0.020593719305808087}"
294,C0074393,sertraline,ORCH,"{'C0002395': 0.02169094852768465, 'C0020676': 0.019680700361746656, 'C0025519': 0.02050513159678369}"
295,C0031117,Peripheral Neuropathy,DSYN,"{'C0002395': 0.021559348137856406, 'C0020676': 0.019595308347586816, 'C0025519': 0.020301673831563293}"
296,C0036421,Systemic Scleroderma,DSYN,"{'C0002395': 0.021075391941655752, 'C0020676': 0.0194598269709839, 'C0025519': 0.020118464661400243}"
297,C0677666,soy protein isolate,ORCH,"{'C0002395': 0.020963329704989434, 'C0020676': 0.019231489997768178, 'C0025519': 0.020044643974828046}"
298,C0020550,Hyperthyroidism,DSYN,"{'C0002395': 0.020882016814722962, 'C0020676': 0.018925799904188374, 'C0025519': 0.019639724163269097}"
299,C0015230,Exanthema,DSYN,"{'C0002395': 0.020793448982278955, 'C0020676': 0.018864452451510735, 'C0025519': 0.019597326080830837}"
300,C0037315,Sleep Apnea Syndromes,DSYN,"{'C0002395': 0.020691067976099813, 'C0020676': 0.01884340243415714, 'C0025519': 0.019471801548320594}"
301,C0040958,triclosan,ORCH,"{'C0002395': 0.020384193908661603, 'C0020676': 0.018805965476051185, 'C0025519': 0.01936081652775441}"
302,C0042870,Vitamin D Deficiency,DSYN,"{'C0002395': 0.020350159866304007, 'C0020676': 0.018769304859946233, 'C0025519': 0.019234446701277733}"
303,C1290886,Chronic inflammatory disorder,DSYN,"{'C0002395': 0.020237587793997824, 'C0020676': 0.01865989371863557, 'C0025519': 0.019117102204327965}"
304,C0085584,Encephalopathies,DSYN,"{'C0002395': 0.020036315394413716, 'C0020676': 0.018568081597498086, 'C0025519': 0.019073822935310687}"
305,C0248868|818,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.019903984869709714, 'C0020676': 0.01856328804306341, 'C0025519': 0.019023660030353506}"
306,C0282193,Iron Overload,DSYN,"{'C0002395': 0.01981681070745845, 'C0020676': 0.018310387452604007, 'C0025519': 0.019007293392750913}"
307,C0341439,Chronic liver disease,DSYN,"{'C0002395': 0.019586436135617738, 'C0020676': 0.018309949207586704, 'C0025519': 0.01859668922835102}"
308,C0038760,Sulfonamides,ORCH,"{'C0002395': 0.019421232271950653, 'C0020676': 0.018254246051798394, 'C0025519': 0.01830581680052631}"
309,C0442893,Systemic disease,DSYN,"{'C0002395': 0.019165278546189907, 'C0020676': 0.018172370343139423, 'C0025519': 0.01829718296091166}"
310,C0140283,Retinoid X Receptors,AAPP,"{'C0002395': 0.0191624249928304, 'C0020676': 0.01779590924944532, 'C0025519': 0.018183851136970703}"
311,C0013384,Dyskinetic syndrome,DSYN,"{'C0002395': 0.019050241761046433, 'C0020676': 0.017744096636482326, 'C0025519': 0.018146609901718513}"
312,C1301700,Cardiovascular morbidity,DSYN,"{'C0002395': 0.018766759934711077, 'C0020676': 0.017257544357493635, 'C0025519': 0.01776001419374465}"
313,C0034818,Insulin Receptor,AAPP,"{'C0002395': 0.018656736875575695, 'C0020676': 0.016924755510175596, 'C0025519': 0.017521488021774223}"
314,C0751956,Acute Cerebrovascular Accidents,DSYN,"{'C0002395': 0.01859364980442442, 'C0020676': 0.016900473603965613, 'C0025519': 0.017369384205524613}"
315,C0378126,"Receptor, Cannabinoid, CB1",AAPP,"{'C0002395': 0.0185519665695478, 'C0020676': 0.016774485794607354, 'C0025519': 0.017119269277418064}"
316,C0240066,Iron deficiency,DSYN,"{'C0002395': 0.018536202381926787, 'C0020676': 0.016754231118530978, 'C0025519': 0.016977368927117657}"
317,C0014130,Endocrine System Diseases,DSYN,"{'C0002395': 0.018104946473584422, 'C0020676': 0.016663862318871115, 'C0025519': 0.01661073118605505}"
318,C0018213,Graves Disease,DSYN,"{'C0002395': 0.018103772736925722, 'C0020676': 0.016586564636374052, 'C0025519': 0.01627509355410985}"
319,C0018099,Gout,DSYN,"{'C0002395': 0.017951675423543485, 'C0020676': 0.016584171235427717, 'C0025519': 0.01625312383379944}"
320,C0341697,NAME_NOT_FOUND,DSYN,"{'C0002395': 0.017728014492261333, 'C0020676': 0.016548517540097753, 'C0025519': 0.01624317077770785}"
321,C0001857,AIDS related complex,DSYN,"{'C0002395': 0.017433103918411248, 'C0020676': 0.016518090516606614, 'C0025519': 0.015362673553152621}"
322,C0026896,Myasthenia Gravis,DSYN,"{'C0002395': 0.017090635470005645, 'C0020676': 0.01625551791757333, 'C0025519': 0.015236543883125392}"
323,C0008731,Chylomicrons,AAPP,"{'C0002395': 0.017046389286421725, 'C0020676': 0.01616444882968591, 'C0025519': 0.015060879772282963}"
324,C0040135|7054,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.016551187790536926, 'C0020676': 0.016151445690305747, 'C0025519': 0.015002965912647433}"
325,C0235950,Zinc deficiency,DSYN,"{'C0002395': 0.01653018532789564, 'C0020676': 0.015957957244710486, 'C0025519': 0.01481306242477448}"
326,C0035258,Restless Legs Syndrome,DSYN,"{'C0002395': 0.016168225606041715, 'C0020676': 0.015885999287141746, 'C0025519': 0.014678367575225983}"
327,C0010340,Critical Illness,DSYN,"{'C0002395': 0.016013333061050614, 'C0020676': 0.015590317356040034, 'C0025519': 0.014531465905064767}"
328,C0040128,Thyroid Diseases,DSYN,"{'C0002395': 0.01597888519236397, 'C0020676': 0.015269716928916837, 'C0025519': 0.014469421230532877}"
329,C0123257|3485,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.015895523859084878, 'C0020676': 0.015195500082289332, 'C0025519': 0.013982109225095173}"
330,C0079281|1906,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.015856641623273757, 'C0020676': 0.015031566567770991, 'C0025519': 0.013582938925104085}"
331,C0025741,methyldopa,AAPP,"{'C0002395': 0.014997313204893002, 'C0020676': 0.014237994860303844, 'C0025519': 0.013479908326662357}"
332,C1099456,escitalopram,ORCH,"{'C0002395': 0.014892003371205774, 'C0020676': 0.013813743150161928, 'C0025519': 0.013431764468790103}"
333,C0002318,alpha-Tubulin,AAPP,"{'C0002395': 0.01342762943510286, 'C0020676': 0.01330893093315061, 'C0025519': 0.013267895486551709}"
334,C0042847,Vitamin B 12 Deficiency,DSYN,"{'C0002395': 0.01320185806140378, 'C0020676': 0.013156230080196467, 'C0025519': 0.013246121873162106}"
335,C0009421,Comatose,DSYN,"{'C0002395': 0.013065516394485109, 'C0020676': 0.012308555758776388, 'C0025519': 0.013218012665212471}"
336,C0016412,Folic Acid Deficiency,DSYN,"{'C0002395': 0.012852697256536134, 'C0020676': 0.011503892257488936, 'C0025519': 0.012450423005208652}"
337,C0010746,Cytochromes b5,AAPP,"{'C0002395': 0.012852487761633476, 'C0020676': 0.011196343681250586, 'C0025519': 0.012268133572795683}"
338,C0858246,Hypos,DSYN,"{'C0002395': 0.012165284271846204, 'C0020676': 0.011162153020656571, 'C0025519': 0.011744474213097935}"
339,C0085078,Lysosomal Storage Diseases,DSYN,"{'C0002395': 0.011660106212306297, 'C0020676': 0.011152793414524624, 'C0025519': 0.01159375858306277}"
340,C0042842,Vitamin A Deficiency,DSYN,"{'C0002395': 0.011310909567195833, 'C0020676': 0.010737139803522802, 'C0025519': 0.011539684665456839}"
341,C0010481,Cushing Syndrome,DSYN,"{'C0002395': 0.01098410544689733, 'C0020676': 0.010523425306696331, 'C0025519': 0.011387453272001134}"
342,C0259749,Autonomic neuropathy,DSYN,"{'C0002395': 0.010688085869077614, 'C0020676': 0.010437802642540316, 'C0025519': 0.010676274103008941}"
343,C0582119,Translocase,AAPP,"{'C0002395': 0.010388049775432045, 'C0020676': 0.009885840211347762, 'C0025519': 0.010212386407050416}"
344,C0025152,mefenamic acid,ORCH,"{'C0002395': 0.010377198309387227, 'C0020676': 0.009740127612764339, 'C0025519': 0.010054675568269349}"
345,C0154251,Lipid Metabolism Disorders,DSYN,"{'C0002395': 0.010199694166708817, 'C0020676': 0.009607236153596028, 'C0025519': 0.009625297516729268}"
346,C0022638,Ketosis,DSYN,"{'C0002395': 0.009044423184329064, 'C0020676': 0.009353774683940852, 'C0025519': 0.009063252060119367}"
347,C1442882|292,NAME_NOT_FOUND,AAPP,"{'C0002395': 0.008889380517690261, 'C0020676': 0.008494306274982457, 'C0025519': 0.008669073783317672}"
348,C0679247,Terminal illness,DSYN,"{'C0002395': 0.00875022452909315, 'C0020676': 0.008203774623934913, 'C0025519': 0.008369015165183498}"
349,C0302332,Poisoning syndrome,DSYN,"{'C0002395': 0.007877957490534984, 'C0020676': 0.007429351723086777, 'C0025519': 0.008090006099167824}"
350,C0212908,MAX Interacting Protein 1,AAPP,"{'C0002395': 0.00668014394824878, 'C0020676': 0.006881807731694809, 'C0025519': 0.006228919319402053}"
351,C0040479,Torsades de Pointes,DSYN,"{'C0002395': 0.005814643231682452, 'C0020676': 0.006731503600540124, 'C0025519': 0.006215214129027383}"
352,C0149676,Enzyme Deficiency,DSYN,"{'C0002395': 0.005317299195007376, 'C0020676': 0.006635393432364894, 'C0025519': 0.005712531799122977}"
353,C0271623,Hypogonadotropic hypogonadism,DSYN,"{'C0002395': 0.004757101330727486, 'C0020676': 0.00582847610699889, 'C0025519': 0.0050850411219689196}"
